Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-10-14 00:00:00-04:00,184.70482077426004,186.70172368629406,184.1532910624393,186.04559326171875,3623900,0.0,0.0
2024-10-15 00:00:00-04:00,186.64943011997244,188.10635990716204,183.28508724111873,183.89852905273438,6553500,1.55,0.0
2024-10-16 00:00:00-04:00,182.54703096860098,183.1125446545558,180.89840339636189,182.55662536621094,5576000,0.0,0.0
2024-10-17 00:00:00-04:00,182.63331047108514,183.6684963463368,180.63963540646068,180.7450714111328,4419000,0.0,0.0
2024-10-18 00:00:00-04:00,181.12846151412353,181.818585409725,180.35207578797363,181.0230255126953,5607900,0.0,0.0
2024-10-21 00:00:00-04:00,180.8792519292656,181.52144769674578,178.17626429166165,178.79928588867188,4496500,0.0,0.0
2024-10-22 00:00:00-04:00,178.5884328420499,181.253072203262,178.5021563856484,180.9271697998047,4210400,0.0,0.0
2024-10-23 00:00:00-04:00,180.8696446251237,181.41599875248195,179.71944311431324,180.08367919921875,4266700,0.0,0.0
2024-10-24 00:00:00-04:00,180.61085193329956,182.56620774485296,180.36164622718667,181.7802276611328,6741800,0.0,0.0
2024-10-25 00:00:00-04:00,181.8089651896257,182.00067761998096,179.403126294959,180.05491638183594,4017400,0.0,0.0
2024-10-28 00:00:00-04:00,180.28497297419958,182.24990865381568,179.73863342338743,181.80899047851562,5383700,0.0,0.0
2024-10-29 00:00:00-04:00,182.58538357889054,183.22757933271672,180.69713003193021,181.58853149414062,6131500,0.0,0.0
2024-10-30 00:00:00-04:00,183.66849688703087,193.95325338248412,180.72589777169458,193.13851928710938,10396400,0.0,0.0
2024-10-31 00:00:00-04:00,193.58900496203023,198.71700591197632,193.06182497058424,195.41015625,8829300,0.0,0.0
2024-11-01 00:00:00-04:00,195.8894047930588,196.23446672471107,193.92448382524537,195.1034393310547,4493900,0.0,0.0
2024-11-04 00:00:00-05:00,195.33346991524678,195.76480829691212,191.91161918319844,192.1512451171875,3531800,0.0,0.0
2024-11-05 00:00:00-05:00,192.17042794458573,194.0203332180306,190.11923044225477,193.31103515625,5109300,0.0,0.0
2024-11-06 00:00:00-05:00,197.2504808638766,197.5955427999271,192.5154846103037,192.8509521484375,7194800,0.0,0.0
2024-11-07 00:00:00-05:00,193.56982288907346,193.92447921007977,190.95311183458853,192.1895751953125,4520200,0.0,0.0
2024-11-08 00:00:00-05:00,192.81260091858334,193.51230449943375,191.2023071547571,191.2214813232422,4596900,0.0,0.0
2024-11-11 00:00:00-05:00,171.16002256513397,171.16002256513397,165.53359557739506,167.19180297851562,20760300,0.0,0.0
2024-11-12 00:00:00-05:00,168.70622319441767,169.3005054064332,163.93287908363868,163.99038696289062,10557000,0.0,0.0
2024-11-13 00:00:00-05:00,164.5463299614053,165.4760797291411,162.6101483741445,163.28111267089844,8483500,0.0,0.0
2024-11-14 00:00:00-05:00,162.94564514190682,164.4984166095354,161.59415128087824,162.59100341796875,8442500,0.0,0.0
2024-11-15 00:00:00-05:00,162.59098056845926,162.59098056845926,157.88472408648482,158.14352416992188,11265400,0.0,0.0
2024-11-18 00:00:00-05:00,158.7473736895091,159.82090774900158,157.961408282729,159.37998962402344,8336900,0.0,0.0
2024-11-19 00:00:00-05:00,158.41190132218665,160.16596474559253,157.01247956682946,159.657958984375,5246000,0.0,0.0
2024-11-20 00:00:00-05:00,159.98386457148098,160.9423683223727,158.77614048496923,160.798583984375,7135600,0.0,0.0
