티커,종목명,매도거래량,매수거래량,순매수거래량,매도거래대금,매수거래대금,순매수거래대금,날짜
034810,해성산업,10668,22879,12211,91117490,194657210,103539720,20251219
439090,마녀공장,4633,16792,12159,64037640,231842920,167805280,20251219
103140,풍산,35138,47280,12142,3560092550,4793139000,1233046450,20251219
161890,한국콜마,27146,39223,12077,1697451850,2454041700,756589850,20251219
112290,와이씨켐,7279,19298,12019,146011020,387572450,241561430,20251219
443060,HD현대마린솔루션,193876,205876,12000,37086965776,39414089626,2327123850,20251219
085620,미래에셋생명,17066,28953,11887,156264640,264549680,108285040,20251219
006220,제주은행,45546,57225,11679,526916665,663473860,136557195,20251219
0120G0,삼양바이오팜,51514,63157,11643,3300727250,4028732000,728004750,20251219
051900,LG생활건강,39576,51209,11633,10422293000,13475764250,3053471250,20251219
060980,HL홀딩스,12104,23171,11067,564851525,1074262275,509410750,20251219
051600,한전KPS,29920,40912,10992,1575837650,2154193850,578356200,20251219
295310,에이치브이엠,172569,183532,10963,7335503125,7750844550,415341425,20251219
161390,한국타이어앤테크놀로지,135603,146517,10914,8263990850,8915357650,651366800,20251219
126700,하이비젼시스템,12972,23777,10805,205077835,375721150,170643315,20251219
308430,셀비온,53177,63898,10721,1246058600,1481822300,235763700,20251219
0030R0,대신밸류리츠,346,10955,10609,1559265,49320450,47761185,20251219
096760,JW홀딩스,22015,32605,10590,83061040,123618805,40557765,20251219
009680,모토닉,3539,13946,10407,39985160,158491830,118506670,20251219
035760,CJ ENM,12827,23229,10402,812078950,1465686400,653607450,20251219
008730,율촌화학,16411,26661,10250,453185000,735472250,282287250,20251219
009240,한샘,8176,18324,10148,379249900,849759350,470509450,20251219
439260,대한조선,37883,47942,10059,2793836600,3536881400,743044800,20251219
043150,바텍,9084,19126,10042,178355180,375751450,197396270,20251219
001740,SK네트웍스,85226,95115,9889,393128877,439176580,46047703,20251219
034310,NICE,55331,65187,9856,765073940,906615445,141541505,20251219
000880,한화,73104,82907,9803,5858359250,6639003350,780644100,20251219
095610,테스,62607,72368,9761,2416893975,2779228200,362334225,20251219
030610,교보증권,23887,33634,9747,230579000,325698200,95119200,20251219
213420,덕산네오룩스,27757,37493,9736,1055609025,1422381650,366772625,20251219
126720,수산인더스트리,2427,12031,9604,52483800,261698725,209214925,20251219
419530,SAMG엔터,16652,26252,9600,685548000,1076644825,391096825,20251219
051360,토비스,12385,21698,9313,197368680,346127625,148758945,20251219
206650,유바이오로직스,34055,43248,9193,414195345,526817830,112622485,20251219
