티커,종목명,날짜,외국인순매수,기관순매수
265520,AP시스템,20260512,43920,9580
017810,풀무원,20260512,-17105,-790
298830,슈어소프트테크,20260512,-101451,4600
494120,큐리오시스,20260512,-16354,-664
004700,조광피혁,20260512,-1194,-327
170900,동아에스티,20260512,-3380,-3355
046970,우리로,20260512,-288257,0
089590,제주항공,20260512,-143299,-80659
183190,아세아시멘트,20260512,-17550,-7701
101730,위메이드맥스,20260512,-12019,-15290
417310,코람코더원리츠,20260512,-51684,18158
241520,DSC인베스트먼트,20260512,203982,-132431
085910,네오티스,20260512,-14295,14553
036890,진성티이씨,20260512,-31339,45474
060980,HL홀딩스,20260512,7346,-3464
025770,한국정보통신,20260512,50930,2202
450950,아스테라시스,20260512,-3835,2395
005610,삼립,20260512,-1831,-697
