티커,종목명,PER,EPS,PBR,외국인보유율,날짜
456040,OCI,-,-2463.0,0.48,11.19,20260730
094800,맵스리얼티,-,-,-,2.71,20260730
003300,한일홀딩스,15.7,1118.0,0.33,3.85,20260730
016380,KG스틸,4.02,1337.0,0.25,5.72,20260730
003620,KG모빌리티,7.56,350.0,0.35,18.52,20260730
075580,세진중공업,10.18,911.0,2.3,2.57,20260730
001060,JW중외제약,7.87,2872.0,1.43,8.94,20260730
005690,파미셀,12.08,725.0,3.96,11.68,20260730
005090,SGC에너지,-,-3847.0,0.76,4.35,20260730
010780,아이에스동서,5.3,3225.0,0.37,7.23,20260730
001270,부국증권,16.13,3004.0,0.53,1.1,20260730
108320,LX세미콘,10.3,2982.0,0.45,29.61,20260730
058650,세아홀딩스,6.65,17543.0,0.21,1.4,20260730
178920,PI첨단소재,13.91,1197.0,1.38,14.46,20260730
448730,삼성FN리츠,-,-,-,0.4,20260730
005810,풍산홀딩스,5.27,6334.0,0.39,12.38,20260730
001530,DI동일,-,-268.0,0.92,4.7,20260730
009410,태영건설,4.61,347.0,0.78,0.56,20260730
284740,쿠쿠홈시스,3.81,5514.0,0.43,9.47,20260730
034310,NICE,10.75,1189.0,0.59,9.65,20260730
003160,디아이,43.12,382.0,2.4,15.04,20260730
039130,하나투어,10.89,2754.0,3.2,12.04,20260730
003545,대신증권우,6.74,2816.0,0.33,12.52,20260730
100840,SNT에너지,4.48,4961.0,1.13,3.41,20260730
005945,NH투자증권우,6.82,3565.0,0.91,7.65,20260730
090435,아모레퍼시픽우,12.83,3380.0,0.55,47.92,20260730
377740,바이오노트,-,-492.0,0.29,0.61,20260730
090460,비에이치,5.47,2397.0,0.55,18.95,20260730
002030,아세아,14.18,15096.0,0.29,5.55,20260730
002240,고려제강,17.63,924.0,0.23,7.06,20260730
145990,삼양사,-,-29632.0,0.25,4.94,20260730
000070,삼양홀딩스,-,-24384.0,0.21,8.07,20260730
001500,현대차증권,6.74,1036.0,0.27,2.97,20260730
417310,코람코더원리츠,-,-,-,2.78,20260730
003030,세아제강지주,33.61,3100.0,0.2,8.9,20260730
460860,동국제강,35.79,242.0,0.23,26.5,20260730
006110,삼아알미늄,-,-1791.0,1.91,39.27,20260730
005250,녹십자홀딩스,-,-1812.0,0.48,8.37,20260730
004690,삼천리,3.79,30693.0,0.22,13.07,20260730
004700,조광피혁,35.49,1775.0,0.38,0.76,20260730
020000,한섬,7.9,2462.0,0.29,24.58,20260730
033240,자화전자,5.36,3603.0,0.81,15.15,20260730
002810,삼영무역,6.82,3283.0,0.65,20.11,20260730
001510,SK증권,8.53,207.0,0.59,4.26,20260730
005389,현대차3우B,5.35,32437.0,0.38,9.71,20260730
072710,농심홀딩스,3.44,25538.0,0.3,3.98,20260730
357120,코람코라이프인프라리츠,-,-,-,1.66,20260730
336370,솔루스첨단소재,-,-475.0,0.73,2.97,20260730
249420,일동제약,11.01,1143.0,1.6,10.48,20260730
014830,유니드,5.84,10022.0,0.34,12.24,20260730
079900,전진건설로봇,12.46,2134.0,2.53,1.15,20260730
029530,신도리코,15.09,2631.0,0.31,12.12,20260730
015360,INVENI,3.3,4250.0,0.45,5.21,20260730
019170,신풍제약,37.95,190.0,1.31,6.29,20260730
003280,흥아해운,13.41,117.0,1.4,1.97,20260730
001940,KISCO홀딩스,-,-1673.0,0.28,7.67,20260730
161000,애경케미칼,-,-64.0,0.52,0.82,20260730
403550,쏘카,-,-720.0,2.11,0.39,20260730
003000,부광약품,24.51,153.0,1.11,7.61,20260730
016590,신대양제지,14.83,619.0,0.45,1.91,20260730
031430,신세계인터내셔날,26.7,394.0,0.44,7.04,20260730
027410,BGF,5.76,668.0,0.21,5.51,20260730
484870,엠앤씨솔루션,8.26,1595.0,2.03,10.41,20260730
001200,유진투자증권,3.24,1148.0,0.29,11.37,20260730
105630,한세실업,8.17,1102.0,0.49,5.92,20260730
008060,대덕,19.64,585.0,0.61,15.26,20260730
344820,KCC글라스,-,-4978.0,0.26,4.62,20260730
